palavra,frequencia_total,frequencia_documentos
golpe,48,34
item,48,36
fabiano,48,23
telefone,48,39
game,48,18
conforme,48,41
santos,48,41
paulistano,48,40
chutar,48,30
rapidamente,48,42
pertencer,48,43
publicação,48,45
debate,48,35
leonardo,48,28
37,48,46
índice,48,27
diretamente,48,45
batizar,48,44
armar,48,30
arquibancar,48,32
pedra,48,38
juego,48,3
inédito,48,41
mineiro,48,33
render,48,48
procedimento,48,32
através,48,46
drinque,48,34
categoriar,47,34
gesto,47,26
tradição,47,37
alarcón,47,11
oficialmente,47,44
rei,47,36
avanço,47,34
atrasar,47,31
shopping,47,27
ideal,47,40
sanchez,47,21
adiantar,47,42
pedaço,47,38
anual,47,38
anúncio,47,39
iss,47,19
natal,47,41
compreender,47,40
tom,47,37
lochte,47,9
parecido,47,43
nadar,47,21
sozinho,47,45
bonito,47,38
2020,47,34
economia,47,40
proprietário,47,34
peru,47,29
joseph,47,26
michelin,47,24
dupla,47,23
natureza,47,42
canadá,47,38
1000,47,28
colocação,46,38
falha,46,35
paixão,46,36
crocante,46,44
alterar,46,36
culpa,46,38
amizade,46,30
detectar,46,30
43,46,43
descartar,46,45
municipal,46,39
descoberta,46,41
toque,46,37
arremesso,46,15
concorrência,46,21
balanço,46,31
evidência,46,41
bandeirinha,46,12
estimar,46,43
congresso,46,28
cbd,46,6
contribuir,46,41
provável,46,42
0h,46,36
ofensivo,46,29
chorar,46,32
caminhar,46,38
regulamento,46,26
política,46,39
plataforma,46,29
básico,46,43
conteúdo,46,30
inteligência,46,25
reforço,46,37
hambúrguer,46,32
diário,46,41
abel,46,13
2003,46,37
conceito,46,40
1994,46,35
paz,46,27
separar,45,40
focar,45,37
roger,45,24
itaquer,45,28
gasto,45,26
facilitar,45,40
exército,45,22
solo,45,26
beneficiar,45,38
preservar,45,34
previsão,45,37
world,45,27
aproximar,45,40
lula,45,34
acácio,45,1
sportr,45,25
cobrança,45,36
formato,45,39
vela,45,26
c,45,39
fábio,45,29
regional,45,37
super,45,24
promessa,45,34
espn,45,19
ativo,45,38
forno,45,30
forçar,45,35
olimpíado,45,40
estranho,45,38
le,45,30
1990,45,41
inicialmente,45,42
rumo,44,37
combinação,44,41
f1,44,8
órbita,44,34
cuidado,44,43
alegar,44,37
52,44,36
john,44,31
matéria,44,26
platini,44,15
recepção,44,11
morador,44,33
imposto,44,34
thoma,44,40
intervalo,44,34
fugir,44,37
portanto,44,40
frio,44,38
barrar,44,36
mídia,44,35
fogo,44,33
classe,44,33
selecionar,44,37
incomodar,44,33
depoimento,44,20
server,44,42
sonhar,44,38
excelente,44,40
ásia,43,24
fama,43,39
existência,43,38
relacionamento,43,31
recuperação,43,35
aproximadamente,43,40
42,43,39
palestra,43,32
melo,43,24
pele,43,34
cielo,43,9
santa,43,30
antonio,43,32
consequência,43,39
complicado,43,39
evoluir,43,29
osorio,43,9
fundar,43,41
atraso,43,32
fresco,43,39
uefa,43,23
praça,43,29
ensinar,43,35
punir,43,27
assalto,43,14
personagem,43,36
página,43,33
alimentação,43,38
gastronomir,43,34
colômber,43,30
ambiental,43,30
empréstimo,43,22
zé,43,25
rebaixamento,43,29
inverno,43,30
pimentar,43,35
investidor,43,22
coreia,42,19
consecutivo,42,37
amplo,42,36
salão,42,37
externo,42,37
leste,42,33
renunciar,42,27
cerebral,42,23
explicação,42,41
restante,42,38
rosto,42,28
manifestar,42,37
1979,42,27
cá,42,36
esquecer,42,37
flor,42,24
datar,42,37
agressivo,42,35
carreirar,42,33
carvalho,42,23
46,42,37
19h30,42,26
rj,42,13
prático,42,36
disposição,42,38
entrevistar,42,40
10h,42,27
provo,42,29
general,42,22
emoção,42,33
australiano,42,28
2001,42,35
allianz,42,20
olympics,42,9
elaborar,42,36
burger,42,15
aberto,42,40
calor,42,39
fã,42,39
orgulho,42,33
guilherme,42,34
show,42,31
famíliar,42,37
cometer,42,35
aéreo,42,34
€,42,19
fornecer,42,37
visto,42,33
impor,42,33
united,41,21
solicitar,41,34
proteção,41,32
receitar,41,36
rechear,41,34
inquérito,41,24
vacina,41,8
fox,41,16
sobreviver,41,36
escuta,41,14
quer,41,36
desconhecer,41,38
warriors,41,6
peruano,41,26
morto,41,31
macho,41,15
emprestar,41,31
fundador,41,35
atuação,41,35
valorizar,41,33
48,41,36
senso,41,16
modificar,41,25
internet,41,35
reconhecimento,41,27
inspiração,41,38
superior,41,33
foguete,41,16
jadson,41,13
cubano,41,10
turista,41,25
bayern,41,26
panamericano,41,24
sorvete,41,27
merecer,41,36
administrar,41,34
lagoa,41,15
júpiter,41,17
legume,41,33
saí,41,35
brasílir,41,39
ceni,41,21
isl,41,10
acumular,40,37
anular,40,21
convencer,40,35
oscar,40,20
fila,40,25
revelação,40,30
saudável,40,34
juventude,40,28
conter,40,38
exposição,40,25
coordenador,40,28
peito,40,21
chelsea,40,18
secretário,40,29
sr,40,14
mexicano,40,23
trabalhador,40,16
avisar,40,37
elevar,40,35
sugestão,40,27
zurique,40,29
victor,40,21
presidir,40,30
potência,40,32
guardiola,40,16
dudu,40,13
ato,40,31
destinar,40,37
tratase,40,40
visar,40,29
máquina,40,28
escapar,40,35
revezamento,40,23
paula,40,24
osso,40,26
restaurant,40,27
rato,40,18
terreno,40,22
cbb,40,6
raiox,40,40
via,40,33
transporte,40,28
firme,40,37
liberdade,39,29
saco,39,28
lixo,39,23
leicester,39,6
comprovar,39,33
centena,39,36
ct,39,26
exceção,39,34
joelho,39,28
renda,39,30
palco,39,28
las,39,12
sondar,39,24
concentração,39,28
expulso,39,30
75,39,34
min,39,13
1974,39,21
semano,39,37
degustação,39,31
1992,39,30
sobretudo,39,34
vizinho,39,36
artístico,39,26
are,39,10
barreira,39,23
si,39,38
nave,39,15
cantar,39,20
suspeita,39,36
programação,39,32
equador,39,21
pleno,39,36
pobre,39,29
ei,39,10
azul,39,28
george,39,25
operar,38,32
on,38,10
ferreira,38,22
embrião,38,13
pasta,38,29
concorrente,38,29
legado,38,23
boa,38,32
latina,38,33
licitação,38,16
22h,38,26
carreiro,38,34
de aí,38,32
céu,38,28
ginástica,38,16
not,38,8
slar,38,9
brincadeira,38,33
acelerar,38,36
bastidor,38,31
cena,38,30
veem,38,31
exercício,38,27
expressar,38,27
copo,38,35
reservar,38,34
amador,38,30
disputo,38,35
at,38,10
nadal,38,6
desviar,38,27
rousseff,38,26
canto,38,24
from,38,12
astrônomos,38,26
sobremesa,38,34
atala,38,24
líquido,37,26
aliás,37,36
colunista,37,33
manobra,37,21
sal,37,28
consumidor,37,23
contestar,37,28
air,37,25
aparentemente,37,30
feira,37,28
blazer,37,8
sanduíche,37,27
acostumar,37,34
falso,37,20
árvore,37,31
prass,37,18
austrália,37,28
certamente,37,33
aposentar,37,27
recordar,37,26
judoca,37,13
brincar,37,32
africano,37,21
graça,37,29
novidade,37,34
código,37,27
vestir,37,32
cbv,37,11
seleçãor,37,32
essencial,37,34
irregularidade,37,26
relato,37,29
premiar,37,35
bastar,37,34
1980,37,25
1995,37,27
demissão,37,20
derrubar,37,31
impressionar,37,33
caldo,37,29
calendário,37,27
brilhante,37,32
abcd,37,4
sobrar,37,36
aeroporto,37,24
ramos,37,26
aguardar,37,36
fruta,37,27
hugo,37,19
envolvimento,37,34
francisco,37,31
distânciar,37,34
un,37,5
particular,36,31
farofa,36,30
alar,36,22
competitivo,36,31
açúcar,36,28
rádio,36,25
compartilhar,36,34
navio,36,12
trânsito,36,24
mandioca,36,26
promotor,36,17
truck,36,21
emitir,36,27
comércio,36,27
conexão,36,26
medalho,36,25
fronteira,36,24
39,36,35
suco,36,25
romano,36,10
mma,36,8
sobremeso,36,28
mover,36,33
sinto,36,30
colaborar,36,32
asiático,36,24
1993,36,28
posicionar,36,27
vier,36,34
obrigação,36,28
sequer,36,31
muscular,36,22
multa,36,30
análise,36,33
apartamento,36,26
juan,36,30
mi,36,9
acho,36,33
desaparecer,36,34
explorar,36,35
chamado,36,34
projetar,36,35
memória,36,32
figurar,36,33
trecho,36,32
proibição,36,29
qui,36,35
dormir,36,28
quiser,36,32
propriedade,35,28
traffic,35,9
colombiano,35,26
roubar,35,30
belmiro,35,18
baía,35,14
alvinegro,35,26
alho,35,32
abrigar,35,30
cpi,35,13
willian,35,20
equilibrar,35,34
praticante,35,14
levantamento,35,30
ausência,35,31
64,35,31
divulgação,35,33
usp,35,22
telefônico,35,15
oposição,35,25
chave,35,30
retomar,35,31
característico,35,34
sentimento,35,29
repórter,35,30
consigo,35,29
patrocinar,35,23
finalizar,35,33
hino,35,12
concacaf,35,14
habilidade,35,33
grão,35,29
frito,35,28
bauza,35,6
academia,35,26
incentivo,35,29
veículo,35,23
espírito,35,30
parcerio,35,32
defensor,35,23
judicial,35,28
personalidade,35,31
engenheiro,35,29
credibilidade,35,26
washington,35,24
state,35,12
joguei,35,29
ryan,34,14
lavar,34,27
mencionar,34,25
ilegal,34,30
have,34,8
guia,34,21
elétrico,34,24
whitley,34,1
marido,34,25
be,34,8
meteorito,34,8
quitar,34,22
tabela,34,23
sérgio,34,25
apelo,34,27
respectivamente,34,34
poderoso,34,29
garcia,34,14
afaer,34,17
imediatamente,34,30
imenso,34,31
impeachment,34,16
equivalente,34,32
orgânico,34,21
universitário,34,21
indicação,34,28
diálogo,34,28
dourar,34,26
denunciar,34,27
crédito,34,26
critério,34,23
sétimo,34,29
2019,34,19
vista,34,33
tecido,34,18
apostar,34,30
servido,34,30
araújo,34,19
argumento,34,29
referir,34,31
israel,34,15
terrar,34,28
infância,34,29
voluntário,34,17
fc,34,21
instrumento,34,28
baiano,34,25
dano,34,20
avenida,34,23
comentário,34,28
74,34,27
altitude,33,20
índia,33,21
maduro,33,9
lembro,33,25
macaco,33,13
comprimento,33,29
faixa,33,26
estender,33,31
top,33,23
lamotta,33,1
facebook,33,25
bicho,33,28
falo,33,23
ringue,33,7
bernardo,33,18
veterano,33,27
misturar,33,31
juntar,33,30
medicina,33,23
rótulo,33,22
habitante,33,30
cal,33,8
firmar,33,25
day,33,7
aproximação,33,21
oferta,33,19
ave,33,15
portavoz,33,28
sochi,33,10
chá,33,17
felipão,33,17
chuva,33,25
acordar,33,26
observação,33,28
liberação,33,25
but,33,8
maratona,33,16
turismo,33,24
miami,33,21
chicago,33,18
vazio,33,21
telescópio,33,21
enter,33,26
palmeir,33,23
barro,33,30
whitlock,33,2
similar,33,29
matemático,33,18
contas,33,23
miguel,33,23
sonda,33,19
aparelho,33,26
antônio,33,20
aposta,33,28
redução,33,28
cesar,33,13
jack,33,23
votação,33,24
said,33,9
afp,33,31
ombro,33,26
preparo,33,30
campos,33,26
janela,33,31
disser,33,32
voz,33,25
bolinho,33,28
assessor,33,26
fraco,33,29
cozinho,33,33
trump,32,7
emissão,32,15
anderson,32,20
massar,32,29
complicar,32,29
atribuir,32,31
encarregar,32,24
jô,32,15
madri,32,20
magnético,32,17
definição,32,24
there,32,8
mecanismo,32,24
río,32,5
gostoso,32,28
financiamento,32,23
nike,32,12
dedo,32,24
inovação,32,25
gênero,32,20
obviamente,32,26
variedade,32,29
hipótese,32,28
sobremês,32,30
religioso,32,22
pênaltis,32,23
veneno,32,10
seco,32,28
djokovic,32,6
terço,32,27
termos,32,31
chiler,32,26
walter,32,18
independentemente,32,25
independiente,32,14
escolar,32,25
regime,32,20
segurar,32,28
segunda,32,32
universo,32,27
jame,32,22
profissão,32,29
profundo,32,30
foie,32,12
corredor,32,22
oms,32,13
gás,32,21
naturar,32,30
maravilhoso,32,29
rivalidade,32,24
onda,32,21
limão,31,28
cometa,31,8
extinção,31,23
21h,31,20
fazêlo,31,26
experiente,31,25
fornecedor,31,20
1997,31,28
cobertura,31,24
salgar,31,29
letra,31,24
frase,31,29
nomear,31,21
transportar,31,26
espectador,31,23
extremamente,31,28
estatal,31,17
secreto,31,19
recorrer,31,28
emprego,31,26
donar,31,29
exclusivo,31,26
resistência,31,27
mente,31,24
julgar,31,26
coritiba,31,24
empregar,31,26
basicamente,31,30
prejuízo,31,24
siglar,31,31
puro,31,27
47,31,29
violento,31,21
equipar,31,29
soco,31,19
800,31,23
apanhar,31,16
consumo,31,26
relógio,31,17
autorizar,31,26
11h30,31,21
eliminatório,31,21
abalar,31,27
tyson,31,3
elogiar,31,27
44,31,27
pmdb,31,18
brilho,31,23
cebola,31,26
intensidade,31,23
neurotracker,31,1
mandatário,31,23
maia,31,19
transparência,31,21
louco,31,25
décar,31,29
largar,31,26
encerramento,31,18
investigador,31,18
justificar,31,30
juventus,31,12
adiante,31,30
set,31,11
angele,31,20
d,31,19
sustentar,31,21
dilmar,31,30
aproveitamento,31,18
cuca,31,19
estreia,31,26
perigoso,31,28
cuba,31,15
tricolor,31,17
manifestação,30,26
louisville,30,2
distinto,30,27
lição,30,28
caio,30,20
col,30,10
em ordeste,30,26
fêmea,30,16
tchê,30,8
will,30,9
contribuição,30,27
contraataque,30,24
contexto,30,27
aplicação,30,23
inseto,30,15
boxeador,30,13
simeone,30,6
geralmente,30,30
campeã,30,26
coutinho,30,24
boston,30,17
jha,30,1
imediato,30,27
ótimo,30,27
62,30,26
ondas,30,16
preocupado,30,28
príncipe,30,14
we,30,8
influenciar,30,26
uruguaio,30,15
park,30,22
milho,30,22
mineirinho,30,6
van,30,24
fixo,30,24
leila,30,7
diversidade,30,22
1964,30,24
leal,30,8
estimular,30,27
ciclismo,30,14
raso,30,9
ferro,30,19
experimentar,30,27
curry,30,14
perfeito,30,27
85,30,26
esposo,30,23
casar,30,23
estatuto,30,22
mourinho,30,13
conceição,30,16
paraolimpíar,30,17
beleza,30,26
beira,30,29
guardar,30,28
conceder,30,30
ampliar,30,24
57,30,25
bancar,30,27
bahia,30,22
tragédia,30,19
lento,30,28
ameaça,30,20
favorável,30,28
íntegra,29,23
tranquilidade,29,26
lotar,29,22
risoto,29,17
andrés,29,17
trepca,29,1
terrorista,29,11
justo,29,27
mensal,29,21
aprovação,29,25
vegetariano,29,26
continental,29,25
coronel,29,16
má,29,25
sócrate,29,7
assegurar,29,27
inferior,29,25
modesto,29,25
condenar,29,25
reverter,29,27
terremoto,29,10
despertar,29,27
vitorioso,29,22
casado,29,22
voar,29,22
dungar,29,19
pular,29,19
postura,29,26
prazer,29,23
sexo,29,15
maratonar,29,13
vago,29,26
taça,29,24
grondona,29,12
has,29,8
administrativo,29,23
segredo,29,26
g,29,16
galiotte,29,8
ganso,29,19
bach,29,19
franco,29,24
oswaldo,29,16
referênciar,29,28
centroavante,29,21
grito,29,18
sushi,29,16
né,29,21
obstáculo,29,24
demonstração,29,28
delicar,29,25
basto,29,19
barra,29,19
suborno,29,19
bife,29,20
extremo,29,25
defensivo,29,23
planeto,29,24
esportiva,29,25
esportista,29,24
esgoto,29,8
dimensão,29,27
encaminhar,29,26
comandante,29,26
topo,29,27
capturar,29,23
skate,29,6
alternativa,28,26
kosovo,28,3
argumentar,28,26
aquecimento,28,21
variação,28,23
jean,28,21
saboroso,28,24
composição,28,24
antecipar,28,25
coautor,28,26
atp,28,9
taçar,28,24
mínimo,28,25
hábito,28,27
interino,28,24
satisfeito,28,27
reta,28,24
ressaltar,28,27
fiscalização,28,16
orientar,28,26
sujeito,28,25
ontem,28,25
avó,28,20
césar,28,24
cubs,28,2
curioso,28,27
remédio,28,17
cordeiro,28,18
cheiro,28,18
1950,28,18
agir,28,24
atravessar,28,25
símbolo,28,25
grama,28,20
incomum,28,25
arqueólogos,28,21
motivar,28,26
arkan,28,1
mistura,28,26
trio,28,25
nar,28,17
tendência,28,23
consumir,28,25
rejeitar,28,23
salvador,28,19
cids,28,3
farinha,28,23
78,28,23
best,28,15
adorar,28,25
paul,28,20
permanente,28,22
pesquisar,28,26
brazilian,28,11
denso,28,28
desculpa,28,22
expressão,28,22
eventual,28,26
biológico,28,20
definitivo,28,25
sub20,28,20
bebida,28,20
72,28,23
destino,28,26
who,28,7
equilíbrio,28,25
eliminação,28,24
premiação,28,24
by,28,8
encaixar,28,25
diariamente,28,27
vidar,28,24
carinho,28,21
soares,28,20
leilão,28,12
diretorio,28,24
prioridade,28,22
manutenção,28,27
an,28,8
maní,28,16
ancestral,28,21
romar,28,18
álcool,27,14
ética,27,20
alzheimer,27,8
comprometer,27,22
robert,27,19
mario,27,24
amarelo,27,23
abordar,27,24
protagonista,27,23
camundongo,27,14
distribuição,27,16
rúgbi,27,13
saldanha,27,2
silêncio,27,22
entendimento,27,22
thi,27,8
juvenil,27,17
soltar,27,21
processar,27,25
ponta,27,24
wilson,27,14
coco,27,22
examinar,27,24
facilmente,27,27
perdi,27,22
esclarecer,27,25
brazil,27,8
pequim,27,21
pernambucano,27,15
mayweather,27,2
mato,27,14
bloco,27,23
mexer,27,23
mistério,27,25
treinadora,27,5
finalmente,27,27
verificar,27,22
figueirense,27,13
cozir,27,23
armador,27,14
insistir,27,23
genoma,27,18
artista,27,19
gay,27,8
onu,27,19
golden,27,9
adolescente,27,21
concorrer,27,23
120,27,25
câmera,27,24
1978,27,14
sulcoreano,27,8
con,27,3
confira,27,27
aguentar,27,23
barato,27,25
israelense,27,8
terrestre,27,19
acadêmico,27,23
racismo,27,13
1989,27,21
financiar,27,22
fantástico,27,25
coragem,27,20
atração,27,20
vaia,27,10
55,27,24
infantino,27,9
assessorio,27,24
média,27,20
marcel,27,21
impressão,27,21
conto,27,26
reprodução,27,19
coletar,27,24
repúblico,27,21
assustar,27,23
tempestade,27,18
imóvel,27,16
comemoração,27,21
lamentar,27,26
tonelada,27,19
manipulação,27,19
cássio,26,14
65,26,24
banano,26,21
casamento,26,20
pensamento,26,23
piscinar,26,13
1991,26,20
escritor,26,18
esqueleto,26,16
uruguai,26,20
pereira,26,23
arsenal,26,20
submeter,26,22
una,26,5
moral,26,23
paraguai,26,19
catarinense,26,16
seguranço,26,21
catalão,26,14
1999,26,20
jato,26,17
mel,26,22
extraordinário,26,22
exigência,26,23
excluir,26,23
exercer,26,24
estágio,26,22
facilidade,26,24
vento,26,19
car,26,12
caetano,26,14
ansiedade,26,22
95,26,19
devolver,26,25
entretanto,26,24
